Symbol,ADF_Statistic,ADF_p-value,Critical_Values,Hurst_Exponent,Current_Ratio,Current_MA
CRIT,-3.4024885178004007,0.010874330174979019,"{'1%': -3.4463221132914486, '5%': -2.8685808072418824, '10%': -2.570520529031954}",0.4876601315732754,0.940883702567488,18.54108
CRNX,-3.0853771784799333,0.027654439651478055,"{'1%': -3.43706091543889, '5%': -2.8645028204932483, '10%': -2.568347558984588}",0.4815460120286885,1.2892741760403077,23.261149999999997
CSWCZ,-3.898266199667741,0.002047644038749399,"{'1%': -3.4924012594942333, '5%': -2.8886968193364835, '10%': -2.5812552709190673}",0.4080777567163282,1.0019420554080298,25.230999999999998
DFAT,-3.530019631512727,0.007248778347346728,"{'1%': -3.4410627157395908, '5%': -2.8662664495424255, '10%': -2.5692871001333266}",0.39257357199855597,1.0064577810986626,46.4401
DFRA,-3.5067919245820094,0.007814366781347606,"{'1%': -3.4439615820186846, '5%': -2.8675425624806605, '10%': -2.5699671340268937}",0.46916426694346924,1.0061525684926498,27.357680000000002
DFSV,-2.8930557155753034,0.04616150307072469,"{'1%': -3.445437655635993, '5%': -2.8681918844944785, '10%': -2.5703132171113543}",0.41640785320691975,1.0076592970829485,25.7726
DGICA,-4.500970879240783,0.00019584711788639408,"{'1%': -3.437123476942836, '5%': -2.8645304098119544, '10%': -2.568362253987091}",0.4626811162196521,0.9737420203425312,14.521300000000002
DGICB,-3.0573781692465443,0.02987244356979202,"{'1%': -3.4370955284183404, '5%': -2.8645180847192755, '10%': -2.568355689215736}",0.4928867195967764,0.9469449406707042,13.7706
DIVS,-4.79550454686524,5.547314744145231e-05,"{'1%': -3.4402516575519346, '5%': -2.8659091963995573, '10%': -2.569096752341498}",0.47335643154789303,0.9988315177019045,24.9041
DRLL,-3.097724864280854,0.026722017507186165,"{'1%': -3.4508226600665037, '5%': -2.870558121868621, '10%': -2.571574731684734}",0.4721012213215254,0.9727630461121362,29.16846
EFRA,-3.2354629069805574,0.018021552176433076,"{'1%': -3.4556556713934934, '5%': -2.872678352489859, '10%': -2.57270548832225}",0.4916170414865069,1.0061343347266887,27.06895
ESIX,-3.5613114171805513,0.006545232720383443,"{'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}",0.4096568866095432,0.9997649557936089,25.99511
ETR,-4.207713874311474,0.0006393671289401543,"{'1%': -3.43718721587049, '5%': -2.8645585177815187, '10%': -2.568377225331392}",0.47741302644657735,1.0265955683720314,96.5424
EVEX,-3.7626036806471244,0.003313958071819236,"{'1%': -3.4477224095888497, '5%': -2.869196333125208, '10%': -2.5708486586002604}",0.4762421329890793,0.893252179320076,8.3627
EXEL,-3.126673845738084,0.02464115214243689,"{'1%': -3.437123476942836, '5%': -2.8645304098119544, '10%': -2.568362253987091}",0.4710437442683271,1.0094640238105475,20.9319
FBRT,-3.257192236953382,0.016903838898142648,"{'1%': -3.4428912664970523, '5%': -2.867071538125014, '10%': -2.5697161081813413}",0.4466734495029104,0.9710601909628636,13.541899999999998
FCNCO,-2.8746498388673443,0.04837628906180505,"{'1%': -3.4446148284445153, '5%': -2.8678299626609314, '10%': -2.5701203107928157}",0.4847793982417335,1.023872260216518,20.2662
